code_module,code_presentation,id_student,dataplus,dualpane,externalquiz,forumng,glossary,homepage,htmlactivity,oucollaborate,oucontent,ouelluminate,ouwiki,page,questionnaire,quiz,repeatactivity,resource,sharedsubpage,subpage,url,target
AAA,2013J,11391,0,0,0,124,0,73,0,0,270,0,0,0,0,0,0,9,0,12,1,1
AAA,2013J,28400,0,0,0,210,0,140,0,0,187,0,0,0,0,0,0,0,0,39,26,1
AAA,2013J,30268,0,0,0,87,0,27,0,0,52,0,0,0,0,0,0,0,0,10,3,0
AAA,2013J,31604,0,0,0,229,0,185,0,0,305,0,0,0,0,0,0,1,0,62,37,1
AAA,2013J,32885,0,0,0,87,0,73,0,0,209,0,0,0,0,0,0,0,0,16,3,1
AAA,2013J,38053,7,0,0,339,0,198,0,0,197,0,0,0,0,0,0,0,0,26,16,1
AAA,2013J,45462,0,0,0,74,0,119,0,2,283,0,0,0,0,0,0,3,0,52,13,1
AAA,2013J,45642,0,0,0,234,0,133,0,1,181,0,0,0,0,0,0,2,0,55,25,1
AAA,2013J,52130,0,0,0,142,0,199,0,2,283,0,0,0,0,0,0,3,0,87,48,1
AAA,2013J,53025,0,0,0,609,0,142,0,0,226,0,0,0,0,0,0,1,0,38,29,1
AAA,2013J,57506,0,0,0,4,0,166,0,0,364,0,0,0,0,0,0,0,0,71,34,1
AAA,2013J,58873,0,0,0,148,0,182,0,2,235,0,0,0,0,0,0,2,0,48,33,1
AAA,2013J,59185,0,0,0,99,0,105,0,3,326,0,0,0,0,0,0,6,0,59,17,1
AAA,2013J,62155,0,0,0,562,0,196,0,1,540,0,0,0,0,0,0,2,0,14,0,1
AAA,2013J,63400,0,0,0,111,0,214,0,0,544,0,0,0,0,0,0,1,0,97,60,1
AAA,2013J,65002,0,0,0,12,0,34,0,0,100,0,0,0,0,0,0,2,0,18,1,0
AAA,2013J,70464,0,0,0,72,0,112,0,2,227,0,0,0,0,0,0,0,0,25,18,1
AAA,2013J,71361,0,0,0,660,0,189,0,1,396,0,0,0,0,0,0,2,0,51,33,1
AAA,2013J,74372,0,0,0,6,0,19,0,0,27,0,0,0,0,0,0,0,0,11,2,0
AAA,2013J,75091,0,0,0,323,0,194,0,0,459,0,0,0,0,0,0,6,0,44,22,1
AAA,2013J,77367,0,0,0,46,0,100,0,0,134,0,0,0,0,0,0,1,0,36,16,1
AAA,2013J,91265,0,0,0,1,0,207,0,0,366,0,0,0,0,0,0,2,0,82,34,1
AAA,2013J,94961,0,0,0,7,0,53,0,0,143,0,0,0,0,0,0,0,0,43,11,0
AAA,2013J,98094,0,0,0,20,0,142,0,0,938,0,0,0,0,0,0,2,0,53,2,1
AAA,2013J,100893,3,0,0,111,0,77,0,1,119,0,0,0,0,0,0,2,0,34,14,1
AAA,2013J,101781,6,0,0,214,0,290,0,0,1122,0,0,0,0,0,0,1,0,123,88,1
AAA,2013J,102806,0,0,0,149,0,214,0,0,393,0,0,0,0,0,0,4,0,34,1,1
AAA,2013J,102952,0,0,0,103,0,57,0,0,248,0,0,0,0,0,0,3,0,36,12,1
AAA,2013J,104476,0,0,0,246,0,252,0,5,542,0,0,0,0,0,0,5,0,85,52,1
AAA,2013J,106247,0,0,0,59,0,97,0,1,199,0,0,0,0,0,0,10,0,30,3,0
AAA,2013J,106577,0,0,0,38,0,71,0,0,115,0,0,0,0,0,0,4,0,15,0,1
AAA,2013J,110175,0,0,0,30,0,111,0,0,186,0,0,0,0,0,0,14,0,64,25,1
AAA,2013J,111717,3,0,0,134,0,215,0,2,526,0,0,0,0,0,0,4,0,47,17,1
AAA,2013J,113295,3,0,0,447,0,481,0,4,740,0,0,0,0,0,0,6,0,127,79,1
AAA,2013J,114017,0,0,0,5,0,101,0,0,234,0,0,0,0,0,0,17,0,79,20,1
AAA,2013J,114999,3,0,0,64,0,83,0,0,392,0,0,0,0,0,0,4,0,25,16,1
AAA,2013J,116541,0,0,0,41,0,203,0,0,430,0,0,0,0,0,0,3,0,67,48,1
AAA,2013J,116692,0,0,0,7,0,133,0,0,223,0,0,0,0,0,0,0,0,33,20,1
AAA,2013J,118983,0,0,0,7,0,27,0,0,52,0,0,0,0,0,0,4,0,26,3,1
AAA,2013J,123044,0,0,0,227,0,238,0,2,471,0,0,0,0,0,0,3,0,111,48,1
AAA,2013J,127582,0,0,0,104,0,137,0,0,232,0,0,0,0,0,0,7,0,40,11,1
AAA,2013J,129955,6,0,0,25,0,230,0,1,464,0,0,0,0,0,0,3,0,36,20,0
AAA,2013J,132976,0,0,0,4,0,22,0,1,83,0,0,0,0,0,0,0,0,3,0,1
AAA,2013J,134143,1,0,0,11,0,187,0,4,847,0,0,0,0,0,0,1,0,24,0,1
